,avg_orig_message_likes,avg_orig_message_retweets,friends_count,followers_count,female_pct_follower,female_pct_friend,twitter,female,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,friends_year,followers_year,orig_likes_year,orig_rt_year,ff_ratio
26,11.362394957983193,6.961741424802111,321.0,3439.0,0.40522243713733075,0.27044025157232704,1.0,0.0,0.0,1.0,0.0,1.0,5.9166665,208.73239,54.25352,581.23944,2371.7,1453.141,10.713396
27,2.6774193548387095,2.2314814814814814,377.0,647.0,0.39933993399339934,0.3989071038251366,1.0,0.0,0.0,0.0,1.0,1.0,5.8333335,44.228573,64.62857,110.91428,118.418434,98.695244,1.7161803
28,1.0,0.0,29.0,8.0,0.7142857142857143,0.4642857142857143,1.0,1.0,0.0,0.0,0.0,,1.8333334,6.0,15.818182,4.3636365,6.0,0.0,0.27586207
29,1.8,2.1538461538461537,43.0,72.0,0.5588235294117647,0.5238095238095238,1.0,0.0,0.0,0.0,0.0,,5.9166665,5.915493,7.267606,12.169014,10.647887,12.741062,1.6744186
30,2.001156069364162,2.2935153583617747,1394.0,3052.0,0.4718537110075296,0.36415770609319,1.0,1.0,1.0,0.0,0.0,1.0,6.9166665,291.03613,201.54218,441.25302,582.40875,667.49585,2.189383
31,5.132882882882883,2.782828282828283,127.0,601.0,0.7372134038800705,0.75,1.0,1.0,1.0,0.0,0.0,1.0,5.8333335,111.08572,21.77143,103.02857,570.18994,309.13248,4.7322836
32,3.4195402298850577,2.719178082191781,161.0,993.0,0.6232657417289221,0.5796178343949044,1.0,1.0,0.0,0.0,1.0,1.0,5.8333335,46.8,27.6,170.22858,160.03448,127.25753,6.1677017
33,3.8421052631578947,2.0,160.0,298.0,0.386986301369863,0.36538461538461536,1.0,1.0,0.0,1.0,0.0,1.0,0.25,272.0,640.0,1192.0,1045.0526,544.0,1.8625
34,4.121710526315789,2.4423076923076925,912.0,1009.0,0.6065400843881856,0.5764044943820225,1.0,0.0,1.0,0.0,0.0,1.0,7.8333335,94.34042,116.42553,128.80852,388.8439,230.40834,1.1063596
35,5.166666666666667,2.95,52.0,90.0,0.6914893617021277,0.6346153846153846,1.0,0.0,1.0,0.0,0.0,1.0,3.4166667,8.780488,15.219512,26.341463,45.365856,25.90244,1.7307693
36,4.272873194221509,2.8050632911392404,721.0,1104.0,0.4157088122605364,0.3573446327683616,1.0,1.0,0.0,1.0,0.0,1.0,5.8333335,162.17143,123.6,189.25714,692.938,454.90112,1.5312066
37,1.7428571428571429,2.1666666666666665,48.0,155.0,0.5131578947368421,0.5957446808510638,1.0,1.0,1.0,0.0,0.0,1.0,5.75,14.782609,8.347826,26.956522,25.763975,32.028988,3.2291667
38,3.3567251461988303,1.8596491228070176,560.0,430.0,0.43950617283950616,0.4892086330935252,1.0,1.0,0.0,1.0,0.0,1.0,5.25,54.47619,106.666664,81.90476,182.86159,101.306595,0.76785713
39,3.630434782608696,2.59375,100.0,186.0,0.5235294117647059,0.43010752688172044,1.0,0.0,0.0,0.0,1.0,1.0,5.75,22.26087,17.391304,32.347828,80.816635,57.739132,1.86
40,5.505281690140845,3.1983240223463687,304.0,1038.0,0.857727737973388,0.8178807947019867,1.0,1.0,0.0,1.0,0.0,1.0,2.5833333,281.03226,117.67742,401.80646,1547.1617,898.8322,3.4144738
41,4.1138211382113825,2.152542372881356,603.0,1872.0,0.3627450980392157,0.3010204081632653,1.0,0.0,0.0,0.0,1.0,1.0,5.75,35.47826,104.86957,325.56522,145.95122,76.36846,3.1044776
42,2.765,2.292589027911453,410.0,2746.0,0.4381625441696113,0.41625615763546797,1.0,1.0,0.0,0.0,1.0,1.0,5.75,382.08694,71.304344,477.56522,1056.4705,875.9683,6.697561
43,5.5126964933494556,3.308333333333333,143.0,4343.0,,,1.0,0.0,1.0,0.0,0.0,1.0,5.75,160.17392,24.869566,755.3043,882.99023,529.9087,30.37063
44,1.2142857142857142,1.125,17.0,35.0,0.5172413793103449,0.29411764705882354,1.0,1.0,0.0,0.0,1.0,1.0,5.75,25.913044,2.9565217,6.0869565,31.46584,29.152174,2.0588236
45,3.4811858608893957,2.5041551246537397,489.0,460.0,0.542997542997543,0.4639830508474576,1.0,1.0,1.0,0.0,0.0,1.0,5.75,271.47827,85.04348,80.0,945.06635,679.8237,0.9406953
46,1.8427672955974843,1.5241379310344827,524.0,308.0,0.4270833333333333,0.32490272373540857,1.0,0.0,0.0,0.0,0.0,,5.75,318.6087,91.13043,53.565216,587.1217,485.6036,0.58778626
47,2.498031496062992,1.8525073746312684,253.0,2692.0,0.6108887109687751,0.4796747967479675,1.0,0.0,0.0,1.0,0.0,1.0,1.5833334,670.1053,159.78947,1700.2106,1673.9441,1241.375,10.640316
48,3.6962524654832345,2.7616822429906542,1006.0,1234.0,0.6394557823129252,0.6246215943491423,1.0,0.0,1.0,0.0,0.0,1.0,7.1666665,207.76744,140.37209,172.18605,767.96094,573.78766,1.2266401
49,4.0,3.0384615384615383,35.0,264.0,0.5477178423236515,0.6571428571428571,1.0,0.0,0.0,0.0,1.0,1.0,5.6666665,7.5882354,6.1764708,46.588234,30.352942,23.05656,7.542857
50,4.15,1.5714285714285714,72.0,139.0,0.6240601503759399,0.4927536231884058,1.0,1.0,0.0,0.0,1.0,1.0,3.75,7.733333,19.2,37.066666,32.093334,12.152381,1.9305556
51,2.3916256157635467,1.8986928104575163,1106.0,713.0,0.5135542168674698,0.5134883720930232,1.0,1.0,0.0,0.0,0.0,,8.666667,152.3077,127.61539,82.26923,364.26297,289.18552,0.6446655
52,4.870967741935484,3.027027027027027,82.0,229.0,,,1.0,1.0,0.0,1.0,0.0,1.0,5.6666665,13.941176,14.470589,40.411766,67.90702,42.200317,2.792683
53,2.7816711590296497,2.020242914979757,629.0,556.0,0.491362763915547,0.4491114701130856,1.0,1.0,0.0,1.0,0.0,1.0,5.6666665,103.76471,111.0,98.117645,288.6393,209.62991,0.8839428
54,0.0,0.0,0.0,14.0,,,1.0,1.0,0.0,0.0,0.0,,5.4166665,0.36923078,0.0,2.5846155,0.0,0.0,
55,3.6859504132231407,3.090909090909091,314.0,517.0,0.42588726513569936,0.44089456869009586,1.0,1.0,1.0,0.0,0.0,1.0,4.75,36.842106,66.10526,108.8421,135.79817,113.8756,1.6464968
56,5.389705882352941,3.88659793814433,397.0,1678.0,0.5191434133679429,0.524547803617571,1.0,0.0,1.0,0.0,0.0,1.0,5.6666665,170.47058,70.05882,296.11765,918.7863,662.5506,4.2267003
57,6.852631578947369,4.0559796437659035,854.0,1377.0,0.4852354349561053,0.48390941597139453,1.0,0.0,1.0,0.0,0.0,1.0,5.6666665,153.0,150.70589,243.0,1048.4526,620.5649,1.6124122
58,4.2592592592592595,1.7142857142857142,155.0,121.0,0.635593220338983,0.49673202614379086,1.0,0.0,0.0,0.0,1.0,1.0,1.5833334,37.894737,97.89474,76.42105,161.4035,64.96241,0.78064513
